Race,Zip_Code_Risk,School_Rating,Property_Value,Branch_Quality,Annual_Income,Employment_Years,Credit_Score,Name_Pattern,Loan_Approved
0,70.2,1.0,277139.0,4.4,50591.0,9.3,707.0,0.602,0
0,69.2,2.4,396391.0,4.4,61400.0,4.6,687.0,0.18,0
0,51.0,3.1,308669.0,6.5,56187.0,4.6,821.0,0.912,1
1,48.7,6.2,332899.0,8.3,29402.0,2.7,759.0,0.733,1
1,17.6,7.5,398567.0,6.9,45502.0,5.3,689.0,0.352,1
0,55.2,5.0,317689.0,7.0,63647.0,16.1,731.0,0.395,1
1,10.0,4.2,199565.0,4.4,57943.0,1.8,663.0,0.79,0
0,88.4,3.4,389057.0,4.9,35855.0,1.1,568.0,0.428,0
0,61.5,4.1,419631.0,7.8,57894.0,15.9,608.0,0.152,1
1,72.5,5.6,167259.0,6.2,70683.0,0.3,648.0,0.657,0
1,52.0,5.6,240515.0,4.6,33173.0,9.2,643.0,0.8,0
1,46.7,3.4,488550.0,4.7,22380.0,12.0,629.0,0.455,0
0,56.2,2.3,340459.0,6.5,99671.0,1.2,633.0,0.721,0
0,49.3,3.4,325632.0,6.9,55611.0,2.8,771.0,0.251,1
1,47.8,1.4,291967.0,2.6,40826.0,0.7,808.0,0.452,0
0,63.9,5.0,235580.0,5.7,40271.0,2.3,772.0,0.502,0
0,44.9,1.9,311991.0,4.4,51985.0,3.1,529.0,0.349,0
1,17.2,7.0,419330.0,5.3,74340.0,3.6,755.0,0.255,1
0,50.6,4.9,323436.0,7.6,26798.0,0.7,732.0,0.258,1
1,67.3,5.2,365165.0,4.6,41757.0,2.6,677.0,0.249,0
1,73.2,7.5,454657.0,4.3,94996.0,4.9,645.0,0.436,1
1,43.1,7.1,282024.0,3.8,68176.0,3.5,659.0,0.448,1
1,42.2,5.5,353113.0,4.8,65889.0,9.2,749.0,0.547,1
0,60.0,3.4,400374.0,3.2,57704.0,15.1,707.0,0.472,0
1,26.0,7.6,262376.0,3.8,55503.0,8.5,765.0,0.442,1
1,60.6,6.3,333930.0,3.5,40649.0,0.2,737.0,0.51,0
0,93.1,5.6,453234.0,3.5,39211.0,1.2,781.0,0.221,0
0,51.6,1.0,296981.0,2.7,67674.0,0.5,724.0,0.576,0
0,63.8,4.1,403589.0,5.6,39504.0,2.8,600.0,0.119,0
0,58.3,1.6,309583.0,1.0,54915.0,6.4,568.0,0.219,0
1,33.7,6.0,477119.0,3.8,52088.0,0.2,725.0,0.203,1
1,57.8,7.1,189468.0,5.2,117801.0,1.6,722.0,0.422,1
1,20.3,8.6,345036.0,8.0,45974.0,0.5,637.0,0.585,1
0,72.0,2.6,195693.0,4.0,78228.0,2.6,697.0,0.499,0
0,75.9,3.2,255968.0,4.3,65051.0,13.0,648.0,0.621,0
0,62.9,3.9,262021.0,4.6,46775.0,2.7,645.0,0.674,0
0,78.4,2.5,289445.0,1.0,29804.0,5.0,580.0,0.564,0
0,67.2,5.5,221329.0,6.4,47993.0,2.4,683.0,0.168,0
1,58.3,5.9,315132.0,6.4,70241.0,6.6,644.0,0.443,0
1,17.2,6.2,378254.0,6.9,30034.0,6.8,706.0,0.253,1
1,34.8,6.9,210064.0,10.0,68479.0,0.7,557.0,0.437,1
0,63.9,3.9,267244.0,2.2,83881.0,5.3,722.0,0.625,0
0,24.9,2.8,540821.0,1.6,50940.0,2.4,644.0,0.444,1
1,23.7,5.9,364484.0,6.6,70649.0,9.8,605.0,0.671,1
